代码,名称,最新价,涨跌幅,涨跌额,成交量(手),成交额,振幅,最高,最低,今开,昨收
002943,宇晶股份,25.83,10.01%,2.35,164774,415930147.8,11.07%,25.83,23.23,23.36,23.48
600081,东风科技,12.97,10.01%,1.18,152347,192685061.0,10.09%,12.97,11.78,11.78,11.79
603068,博通集成,36.5,10.01%,3.32,79129,285010402.0,9.86%,36.5,33.23,33.23,33.18
603217,元利科技,18.92,10.0%,1.72,99148,184190385.0,10.17%,18.92,17.17,17.23,17.2
603088,宁波精达,11.99,10.0%,1.09,353832,407793190.0,10.73%,11.99,10.82,10.85,10.9
603072,天和磁材,50.38,10.0%,4.58,376389,1808165119.0,15.68%,50.38,43.2,43.2,45.8
600537,亿晶光电,3.3,10.0%,0.3,629022,201754720.0,11.0%,3.3,2.97,3.0,3.0
002553,南方精工,27.94,10.0%,2.54,824754,2238989960.42,11.73%,27.94,24.96,25.37,25.4
000048,京基智农,17.05,10.0%,1.55,162449,267839923.74,10.52%,17.05,15.42,15.45,15.5
603285,键邦股份,29.16,10.0%,2.65,99326,287153147.0,4.38%,29.16,28.0,28.91,26.51
603677,奇精机械,24.87,10.0%,2.26,270791,629810366.0,15.57%,24.87,21.35,21.74,22.61
603090,宏盛股份,25.87,9.99%,2.35,90257,221405796.0,14.33%,25.87,22.5,23.22,23.52
002757,南兴股份,21.58,9.99%,1.96,243147,497306271.57,10.45%,21.58,19.53,19.53,19.62
002801,微光股份,40.41,9.99%,3.67,83141,326840433.04,11.16%,40.41,36.31,36.66,36.74
600571,信雅达,16.08,9.99%,1.46,1072219,1651412649.0,12.65%,16.08,14.23,14.3,14.62
600689,上海三毛,13.77,9.98%,1.25,183623,241050674.0,12.06%,13.77,12.26,12.49,12.52
002708,光洋股份,13.22,9.98%,1.2,291876,376668710.02,10.9%,13.22,11.91,11.91,12.02
002856,美芝股份,9.59,9.98%,0.87,85226,80972271.6,7.8%,9.59,8.91,8.94,8.72
002249,大洋电机,7.5,9.97%,0.68,1582780,1161524203.23,10.26%,7.5,6.8,6.83,6.82
000837,秦川机床,13.68,9.97%,1.24,728907,974331426.24,13.26%,13.68,12.03,12.1,12.44
605069,正和生态,12.91,9.97%,1.17,524502,636889223.0,17.21%,12.91,10.89,11.4,11.74
603011,合锻智能,12.36,9.96%,1.12,83117,102732661.0,0.0%,12.36,12.36,12.36,11.24
600610,中毅达,10.6,9.96%,0.96,1060422,1113910749.0,5.81%,10.6,10.04,10.45,9.64
002206,海 利 得,5.19,9.96%,0.47,998576,503661513.32,9.75%,5.19,4.73,4.77,4.72
301393,昊帆生物,44.95,9.96%,4.07,44459,195746969.36,14.26%,46.44,40.61,40.91,40.88
600212,绿能慧充,9.17,9.95%,0.83,518192,462180924.0,10.55%,9.17,8.29,8.31,8.34
002363,隆基机械,8.51,9.95%,0.77,144443,121521058.13,10.21%,8.51,7.72,7.78,7.74
600965,福成股份,5.53,9.94%,0.5,242853,130073327.0,9.15%,5.53,5.07,5.08,5.03
002686,亿利达,7.08,9.94%,0.64,222376,152940241.0,11.49%,7.08,6.34,6.43,6.44
002427,尤夫股份,5.76,9.92%,0.52,175659,101179670.4,0.0%,5.76,5.76,5.76,5.24
000753,漳州发展,5.43,9.92%,0.49,1337133,689361785.79,11.74%,5.43,4.85,5.0,4.94
000633,合金投资,5.43,9.92%,0.49,55647,30216321.0,0.0%,5.43,5.43,5.43,4.94
300817,双飞集团,28.99,9.77%,2.58,317234,923779276.45,15.6%,30.69,26.57,26.6,26.41
300265,通光线缆,11.37,9.75%,1.01,1044066,1140372430.0,13.42%,11.5,10.11,10.27,10.36
300539,横河精密,16.06,9.55%,1.4,212576,337586613.0,15.48%,16.79,14.52,14.52,14.66
688622,禾信仪器,97.51,9.44%,8.41,18472,176217781.0,9.98%,98.88,89.99,89.99,89.1
600580,卧龙电驱,30.81,9.26%,2.61,2983092,9006624124.0,13.79%,31.02,27.13,27.13,28.2
300363,博腾股份,18.49,9.02%,1.53,414665,757138160.4,12.38%,18.88,16.78,16.79,16.96
300828,锐新科技,18.12,8.96%,1.49,147312,262665192.5,14.07%,18.96,16.62,16.7,16.63
301228,实朴检测,19.55,8.91%,1.6,59754,115011957.0,11.14%,19.89,17.89,18.0,17.95
