日期,开盘价,收盘价,最高价,最低价,成交量(手),成交额(元),振幅(%),涨跌幅(%),涨跌额,换手率(%)
2023-02-20,223.45,225.94,226.72,218.08,168299,6992852566.0,3.83,0.07,0.16,0.8
2023-02-21,224.28,222.9,227.06,221.23,131846,5490561030.0,2.58,-1.35,-3.04,0.63
2023-02-22,219.56,219.83,222.4,218.27,123639,5069312343.0,1.85,-1.38,-3.07,0.59
2023-02-23,220.12,221.91,222.97,218.68,95373,3922375682.0,1.95,0.95,2.08,0.46
2023-02-24,220.68,217.56,221.12,216.8,99894,4060495069.0,1.95,-1.96,-4.35,0.48
2023-02-27,216.08,215.18,217.61,214.62,92206,3705001333.0,1.37,-1.09,-2.38,0.44
2023-02-28,216.78,216.73,219.18,215.4,93231,3769996772.0,1.76,0.72,1.55,0.45
2023-03-01,216.29,221.11,222.44,216.25,126020,5166296897.0,2.86,2.02,4.38,0.6
2023-03-02,219.84,215.01,220.68,212.45,161453,6483446930.0,3.72,-2.76,-6.1,0.77
2023-03-03,215.84,215.85,217.74,214.56,82031,3300669920.0,1.48,0.39,0.84,0.39
2023-03-06,215.77,219.24,219.49,210.13,166267,6674565924.0,4.34,1.57,3.39,0.79
2023-03-07,216.79,215.79,219.56,215.58,99184,4014218858.0,1.82,-1.57,-3.45,0.47
2023-03-08,214.57,213.3,216.19,211.85,81294,3231604462.0,2.01,-1.15,-2.49,0.39
2023-03-09,212.45,212.9,215.28,208.03,81367,3228769655.0,3.4,-0.19,-0.4,0.39
2023-03-10,215.5,217.78,220.08,212.29,191426,7722447890.0,3.66,2.29,4.88,0.89
2023-03-13,216.25,210.12,218.26,209.01,188332,7424578060.0,4.25,-3.52,-7.66,0.87
2023-03-14,209.5,207.47,209.56,202.34,184847,7095007800.0,3.44,-1.26,-2.65,0.86
2023-03-15,210.68,207.9,212.2,205.46,129683,5046344791.0,3.25,0.21,0.43,0.6
2023-03-16,205.68,206.29,208.96,205.4,101132,3897781767.0,1.71,-0.77,-1.61,0.47
2023-03-17,208.45,201.22,209.0,200.95,201447,7641555518.0,3.9,-2.46,-5.07,0.93
2023-03-20,200.42,203.43,206.01,196.79,158370,6002000932.0,4.58,1.1,2.21,0.73
