日期,开盘价,收盘价,最高价,最低价,成交量(手),成交额(元),振幅(%),涨跌幅(%),涨跌额,换手率(%)
2020-01-02,948.32,950.32,965.38,936.32,148099,16696837120.0,2.9,-5.28,-53.0,1.18
2020-01-03,937.32,898.88,937.32,897.22,130319,14266380544.0,4.22,-5.41,-51.44,1.04
2020-01-06,891.18,898.31,913.22,887.62,63415,6853917696.0,2.85,-0.06,-0.57,0.5
2020-01-07,897.82,914.85,919.32,896.72,47854,5220697088.0,2.52,1.84,16.54,0.38
2020-01-08,905.37,908.46,915.82,902.9,25008,2720371920.0,1.41,-0.7,-6.39,0.2
2020-01-09,914.32,923.02,925.71,910.32,37406,4110949808.0,1.69,1.6,14.56,0.3
2020-01-10,929.32,932.82,936.31,922.82,35976,3993457120.0,1.46,1.06,9.8,0.29
2020-01-13,932.82,944.59,949.52,932.32,38516,4325688064.0,1.84,1.26,11.77,0.31
2020-01-14,944.52,927.72,945.21,923.32,35145,3916300784.0,2.32,-1.79,-16.87,0.28
2020-01-15,929.33,932.45,941.92,925.32,26029,2895603680.0,1.79,0.51,4.73,0.21
2020-01-16,939.19,927.32,939.19,922.9,23192,2571593136.0,1.75,-0.55,-5.13,0.18
2020-01-17,930.32,927.82,933.1,921.33,23473,2599645152.0,1.27,0.05,0.5,0.19
2020-01-20,932.18,911.32,932.18,902.32,35391,3858246848.0,3.22,-1.78,-16.5,0.28
2020-01-21,901.32,895.62,907.32,892.62,32874,3542441312.0,1.61,-1.72,-15.7,0.26
2020-01-22,890.32,895.83,904.32,875.7,36200,3875275072.0,3.2,0.02,0.21,0.29
2020-01-23,896.32,873.12,896.32,857.32,53468,5638945792.0,4.35,-2.54,-22.71,0.43
2020-02-03,805.32,824.24,831.0,800.32,123443,12314991872.0,3.51,-5.6,-48.88,0.98
2020-02-04,835.32,858.33,877.32,831.33,62624,6490469120.0,5.58,4.14,34.09,0.5
2020-02-05,870.32,870.31,874.32,853.35,47418,4956355328.0,2.44,1.4,11.98,0.38
2020-02-06,879.75,891.32,895.32,872.34,47171,5011246336.0,2.64,2.41,21.01,0.38
2020-02-07,890.33,896.32,897.32,881.34,31279,3348894576.0,1.79,0.56,5.0,0.25
2020-02-10,882.32,886.81,894.92,877.52,30533,3251908512.0,1.94,-1.06,-9.51,0.24
2020-02-11,883.32,918.32,920.0,883.12,47918,5222918912.0,4.16,3.55,31.51,0.38
2020-02-12,909.32,917.59,919.11,906.2,28125,3072293968.0,1.41,-0.08,-0.73,0.22
2020-02-13,918.32,911.32,934.21,908.33,30357,3335277424.0,2.82,-0.68,-6.27,0.24
2020-02-14,910.77,908.32,913.83,903.43,23288,2534568400.0,1.14,-0.33,-3.0,0.19
2020-02-17,902.82,914.14,916.51,902.72,27028,2946182656.0,1.52,0.64,5.82,0.22
2020-02-18,910.33,904.32,917.2,903.32,26665,2897729696.0,1.52,-1.07,-9.82,0.21
2020-02-19,905.32,916.82,921.82,898.32,37051,4052365600.0,2.6,1.38,12.5,0.29
2020-02-20,917.02,938.32,944.32,915.73,46803,5220660992.0,3.12,2.35,21.5,0.37
2020-02-21,931.78,933.2,943.86,930.33,28940,3225337168.0,1.44,-0.55,-5.12,0.23
2020-02-24,925.82,907.5,930.32,905.82,38650,4221857472.0,2.63,-2.75,-25.7,0.31
2020-02-25,898.32,895.13,902.41,888.2,38386,4127432128.0,1.57,-1.36,-12.37,0.31
2020-02-26,882.32,894.02,904.32,875.32,43561,4663278336.0,3.24,-0.12,-1.11,0.35
2020-02-27,896.32,907.71,915.31,896.32,34498,3758783808.0,2.12,1.53,13.69,0.27
2020-02-28,890.62,877.32,902.32,870.29,49947,5307929344.0,3.53,-3.35,-30.39,0.4
2020-03-02,870.43,906.33,916.87,870.33,47663,5154329088.0,5.3,3.31,29.01,0.38
2020-03-03,918.32,933.32,939.2,918.32,50250,5585227776.0,2.3,2.98,26.99,0.4
2020-03-04,945.32,949.24,959.32,936.56,53793,6080149248.0,2.44,1.71,15.92,0.43
2020-03-05,956.63,991.32,995.31,950.88,62426,7210484992.0,4.68,4.43,42.08,0.5
2020-03-06,983.32,975.82,996.32,972.3,30641,3553622352.0,2.42,-1.56,-15.5,0.24
2020-03-09,955.32,934.33,955.32,931.63,43404,4865288448.0,2.43,-4.25,-41.49,0.35
2020-03-10,933.32,976.32,988.32,933.32,58063,6635936256.0,5.89,4.49,41.99,0.46
2020-03-11,975.82,978.84,989.9,961.32,35548,4124607952.0,2.93,0.26,2.52,0.28
